day,infection,hosp_expected,icu_expected,deaths_expected,population,admitted,admitted_hosp,admitted_icu,rejected,rejected_hosp,rejected_icu,deaths,deaths_hosp,deaths_icu,beds,reserve_beds,occupied_beds,icu,reserve_icu,occupied_icu,budget,expenses
17,503.98345881249077,8.110227174139336,0.19090909090909086,0.0,49995,12,11,1,0,0,0,1,1,0,440,35,29,115,11,1,183220000,3710000
18,581.3240363330831,9.464276153025938,0.29999999999999993,0.11764705882352945,49994,12,11,1,0,0,0,1,1,0,440,35,36,115,11,2,179510000,3710000
19,668.2466198028793,11.02805695963658,0.29999999999999993,0.11764705882352945,49992,11,11,0,0,0,0,2,2,0,440,35,39,115,11,2,175800000,3710000
20,765.1561246328117,12.828211120955046,0.29999999999999993,0.0,49990,12,12,0,0,0,0,2,2,0,440,35,44,115,11,2,172090000,3710000
21,872.1468222765503,14.892700770046376,0.32727272727272716,0.0,49989,15,14,1,0,0,0,1,1,0,440,35,52,115,11,3,168380000,3710000
22,988.9078958794491,17.25007931092664,0.3818181818181817,0.11764705882352945,49987,21,21,0,0,0,0,2,2,0,440,35,65,115,11,3,164670000,3710000
23,1114.6612108781123,19.92841695277758,0.5727272727272725,0.0,49985,25,25,0,0,0,0,2,2,0,440,35,76,115,11,3,160960000,3710000
24,1247.9193073679135,22.953887975363262,0.6818181818181817,0.0,49984,18,18,0,0,0,0,1,1,0,440,35,85,115,11,3,157250000,3710000
25,1386.41244721914,26.348937236659275,0.49090909090909074,0.0,49982,27,27,0,0,0,0,2,2,0,440,35,98,115,11,3,153540000,3710000
26,1527.0927418898877,30.129982225057134,0.7363636363636361,0.0,49980,24,23,1,0,0,0,2,2,0,440,35,98,115,11,3,149830000,3710000
27,1665.9502792908445,34.3047985035329,0.6272727272727271,0.11764705882352945,49978,36,35,1,0,0,0,2,2,0,440,35,116,115,11,4,146120000,3710000
28,1798.1865332860054,38.86964194058766,0.9545454545454543,0.11764705882352945,49977,36,36,0,0,0,0,1,1,0,440,35,120,115,11,4,142410000,3710000
29,1918.3355838617479,43.80628936153553,0.9818181818181815,0.0,49972,36,36,0,0,0,0,5,5,0,440,35,135,115,11,4,138700000,3710000
30,2020.8590377697403,49.079331708951116,0.9818181818181815,0.0,49962,74,70,4,0,0,0,10,9,1,440,35,177,115,11,8,134990000,3710000
31,2100.2149660652112,54.63424707348742,1.9090909090909085,0.4705882352941178,49958,55,54,1,0,0,0,4,4,0,440,35,200,115,11,9,131280000,3710000
32,2151.0116172661124,60.396557786597995,1.4727272727272722,0.11764705882352945,49951,53,52,1,0,0,0,7,7,0,440,35,209,115,11,9,127570000,3710000
33,2169.9544759263626,66.27199942641708,1.4181818181818178,0.11764705882352945,49943,74,72,2,0,0,0,8,6,2,440,35,238,115,11,11,123860000,3710000
34,2154.982443130734,72.1488039332633,1.963636363636363,0.2352941176470589,49934,85,84,1,0,0,0,9,9,0,440,35,289,115,11,11,120150000,3710000
35,2106.1751090901703,77.90203199638529,2.29090909090909,0.11764705882352945,49928,87,85,2,0,0,0,6,6,0,440,35,327,115,11,12,116440000,3710000
36,2025.5783188508617,83.3993364988834,2.3181818181818175,0.2352941176470589,49922,93,91,2,0,0,0,6,6,0,440,35,350,115,11,13,112730000,3710000
37,1917.4913365493953,88.50794254544547,2.481818181818181,0.2352941176470589,49914,73,69,4,0,0,0,8,5,3,440,35,346,115,11,14,109020000,3710000
38,1787.6333270718667,93.10231857406764,1.8818181818181812,0.4705882352941178,49904,98,97,1,0,0,0,10,9,1,440,35,385,115,11,13,105310000,3710000
39,1642.5044983963408,97.07168366242513,2.6454545454545446,0.11764705882352945,49896,89,86,3,0,0,0,8,8,0,440,35,399,115,11,13,101600000,3710000
40,1488.6908491816089,100.32627496505857,2.345454545454545,0.35294117647058837,49884,101,98,3,0,0,0,12,11,1,440,35,431,115,11,14,97890000,3710000
41,1332.7012237346214,102.80173523651126,2.672727272727272,0.35294117647058837,49867,89,86,3,36,36,0,17,16,1,440,35,439,115,11,17,94180000,3710000
42,1179.9506973289683,104.46153984759654,2.345454545454545,0.35294117647058837,49833,74,73,1,120,120,0,34,34,0,440,35,439,115,11,18,90470000,3710000
43,1034.9172860253113,105.29724694928893,1.9909090909090903,0.11764705882352945,49804,73,72,1,102,102,0,29,29,0,440,35,437,115,11,18,86760000,3710000
44,900.066783514437,105.32677182928639,1.963636363636363,0.11764705882352945,49780,88,85,3,57,57,0,24,24,0,440,35,440,115,11,19,83050000,3710000
45,777.3284940983293,104.59074641100986,2.3181818181818175,0.35294117647058837,49759,84,82,2,45,45,0,21,20,1,440,35,438,115,11,17,79340000,3710000
46,667.6155802004927,103.14796595907599,2.236363636363636,0.2352941176470589,49724,81,78,3,102,102,0,35,33,2,440,35,440,115,11,19,75630000,3710000
47,571.1718685012187,101.07075346340498,2.1272727272727265,0.35294117647058837,49692,80,78,2,108,108,0,32,32,0,440,35,439,115,11,18,71920000,3710000
48,487.18290708961894,98.44036884414622,2.1272727272727265,0.2352941176470589,49666,85,83,2,81,81,0,26,25,1,440,35,439,115,11,19,68210000,3710000
49,414.7250582104518,95.34250957156873,2.263636363636363,0.2352941176470589,49646,83,80,3,48,48,0,20,20,0,440,35,438,115,11,22,64500000,3710000
50,352.6982957482165,91.86335769088801,2.181818181818181,0.35294117647058837,49639,80,77,3,3,3,0,7,7,0,440,35,433,115,11,23,60790000,3710000
51,299.8710057235214,88.08653335830434,2.099999999999999,0.35294117647058837,49626,87,86,1,24,24,0,13,13,0,440,35,433,115,11,20,57080000,3710000
52,255.17882225302782,84.09076810569466,2.345454545454545,0.11764705882352945,49611,90,84,6,18,18,0,15,13,2,440,35,430,115,11,23,53370000,3710000
53,217.44549591666393,79.94834862753272,2.29090909090909,0.7058823529411767,49602,73,71,2,3,3,0,9,9,0,440,35,415,115,11,25,49660000,3710000
54,185.6045063136359,75.72413231419756,1.9363636363636358,0.2352941176470589,49596,70,67,3,0,0,0,6,6,0,440,35,410,115,11,26,45950000,3710000
55,158.7646590445042,71.47499190464418,1.8272727272727267,0.35294117647058837,49588,81,78,3,0,0,0,8,7,1,440,35,398,115,11,28,42240000,3710000
56,136.14917748989606,67.24972947631754,2.1272727272727265,0.35294117647058837,49581,65,65,0,0,0,0,7,7,0,440,35,388,115,11,28,38530000,3710000
57,117.06606672472117,63.08933037696515,1.7727272727272723,0.0,49574,69,68,1,0,0,0,7,7,0,440,35,394,115,11,24,34820000,3710000
58,100.94103256386133,59.02741202907283,1.854545454545454,0.11764705882352945,49568,59,59,0,0,0,0,6,6,0,440,35,383,115,11,21,31110000,3710000
59,87.28644375545525,55.09081060610974,1.6090909090909087,0.0,49563,55,53,2,0,0,0,5,4,1,440,35,353,115,11,20,27400000,3710000
60,75.696808531985,51.30025468568369,1.445454545454545,0.2352941176470589,49561,45,42,3,0,0,0,2,2,0,440,35,314,115,11,20,23690000,3710000
61,65.83154155658082,47.67107123086175,1.145454545454545,0.35294117647058837,49558,39,39,0,0,0,0,3,3,0,440,35,296,115,11,18,19980000,3710000
62,57.41553384385492,44.21388898882542,1.0636363636363633,0.0,49554,46,44,2,0,0,0,4,4,0,440,35,276,115,11,19,16270000,3710000
63,50.214412917664156,40.93531825612842,1.1999999999999997,0.2352941176470589,49549,33,33,0,0,0,0,5,5,0,440,35,264,115,11,15,12560000,3710000
64,44.03391478706682,37.838585752464475,0.8999999999999997,0.0,49545,38,38,0,0,0,0,4,4,0,440,35,251,115,11,12,8850000,3710000
65,38.711395942419536,34.92411146778042,1.0363636363636362,0.0,49540,30,30,0,0,0,0,5,5,0,440,35,229,115,11,12,5140000,3710000
66,34.11515433709274,32.19002651740548,0.8181818181818179,0.0,49538,41,40,1,0,0,0,2,2,0,440,35,217,115,11,13,1430000,3710000
67,30.131520701608775,29.632633167669244,1.0909090909090906,0.11764705882352945,49534,26,26,0,0,0,0,4,4,0,440,35,202,115,11,12,-2280000,3710000
68,26.671480833498414,27.246805499965866,0.7090909090909089,0.0,49532,16,15,1,0,0,0,2,1,1,440,35,175,115,11,12,-5990000,3710000
69,23.655479347544773,25.026336287692484,0.40909090909090895,0.11764705882352945,49531,31,31,0,0,0,0,1,1,0,440,35,179,115,11,10,-9700000,3710000
70,21.01971313303253,22.964231971973838,0.8454545454545452,0.0,49530,21,19,2,0,0,0,1,0,1,440,35,159,115,11,12,-13410000,3710000
71,18.71047892857068,21.052959815231716,0.5181818181818181,0.2352941176470589,49528,17,17,0,0,0,0,2,2,0,440,35,140,115,11,11,-17120000,3710000
72,16.68246574268771,19.284655100666736,0.4636363636363635,0.0,49525,24,23,1,0,0,0,3,3,0,440,35,135,115,11,11,-20830000,3710000
73,14.897043584732037,17.651291010027396,0.6272727272727271,0.11764705882352945,49521,15,15,0,0,0,0,4,4,0,440,35,130,115,11,6,-24540000,3710000
74,13.32153306447764,16.144815877911725,0.40909090909090895,0.0,49520,20,20,0,0,0,0,1,1,0,440,35,118,115,11,6,-28250000,3710000
75,11.927238817138749,14.75726248764067,0.5454545454545453,0.0,49519,14,14,0,0,0,0,1,1,0,440,35,114,115,11,5,-31960000,3710000
76,10.691516010511842,13.480833110885166,0.3818181818181817,0.0,49514,19,19,0,0,0,0,5,5,0,440,35,101,115,11,5,-35670000,3710000
77,9.595007094295507,12.307965320569984,0.5181818181818181,0.0,49514,9,9,0,0,0,0,0,0,0,440,35,91,115,11,5,-39380000,3710000
78,8.618646634951363,11.231381802979266,0.24545454545454537,0.0,49513,10,10,0,0,0,0,1,1,0,440,35,84,115,11,3,-43090000,3710000
79,7.748850043495172,10.24412406720846,0.27272727272727265,0.0,49512,15,15,0,0,0,0,1,1,0,440,35,76,115,11,3,-46800000,3710000
80,6.97263294774642,9.339575266027078,0.40909090909090895,0.0,49511,12,12,0,0,0,0,1,1,0,440,35,75,115,11,2,-50510000,3710000
81,6.278936625305096,8.511474318867261,0.32727272727272716,0.0,49511,2,2,0,0,0,0,0,0,0,440,35,75,115,11,2,-54220000,3710000
82,5.658054874359948,7.753921523108621,0.05454545454545453,0.0,49511,4,4,0,0,0,0,0,0,0,440,35,56,115,11,2,-57930000,3710000
83,5.101781886997533,7.061378130198874,0.10909090909090906,0.0,49509,12,11,1,0,0,0,2,1,1,440,35,53,115,11,3,-61640000,3710000
84,4.603021834690308,6.428661246221666,0.29999999999999993,0.11764705882352945,49508,5,5,0,0,0,0,1,1,0,440,35,46,115,11,2,-65350000,3710000
85,4.1550989436998895,5.8509352016923435,0.13636363636363633,0.0,49507,6,5,1,0,0,0,1,0,1,440,35,37,115,11,3,-69060000,3710000
86,3.752536201376874,5.323699815558298,0.13636363636363633,0.11764705882352945,49506,4,4,0,0,0,0,1,1,0,440,35,35,115,11,3,-72770000,3710000
87,3.390427867204508,4.842776684059846,0.10909090909090906,0.0,49506,6,6,0,0,0,0,0,0,0,440,35,36,115,11,3,-76480000,3710000
88,3.0643898073200715,4.404294286755109,0.16363636363636358,0.0,49504,9,9,0,0,0,0,2,2,0,440,35,37,115,11,2,-80190000,3710000
89,2.770791429915462,4.004672108658899,0.24545454545454537,0.0,49503,8,7,1,0,0,0,1,1,0,440,35,35,115,11,2,-83900000,3710000
90,2.506069226034138,3.640604438442593,0.19090909090909086,0.11764705882352945,49503,1,1,0,0,0,0,0,0,0,440,35,32,115,11,2,-87610000,3710000
91,2.267245438630374,3.3090439117271355,0.027272727272727264,0.0,49502,4,4,0,0,0,0,1,1,0,440,35,33,115,11,2,-91320000,3710000
92,2.0517565183702136,3.0071851100514886,0.10909090909090906,0.0,49502,3,3,0,0,0,0,0,0,0,440,35,25,115,11,2,-95030000,3710000
93,1.8571475666828807,2.7324486728269104,0.08181818181818179,0.0,49501,3,3,0,0,0,0,1,1,0,440,35,25,115,11,2,-98740000,3710000
94,1.681388137702241,2.4824657860996417,0.08181818181818179,0.0,49500,4,3,1,0,0,0,1,1,0,440,35,20,115,11,2,-102450000,3710000
95,1.5225540669110802,2.2550632591414774,0.08181818181818179,0.11764705882352945,49500,5,5,0,0,0,0,0,0,0,440,35,18,115,11,2,-106160000,3710000
96,1.3789348016340675,2.0482492766941616,0.13636363636363633,0.0,49500,1,1,0,0,0,0,0,0,0,440,35,15,115,11,1,-109870000,3710000
97,1.249057482923574,1.8601997986541965,0.027272727272727264,0.0,49500,0,0,0,0,0,0,0,0,0,440,35,14,115,11,1,-113580000,3710000
98,1.131571808329312,1.6892457571709472,0.0,0.0,49499,2,2,0,0,0,0,1,1,0,440,35,13,115,11,1,-117290000,3710000
99,1.0252872157835304,1.533861013832421,0.05454545454545453,0.0,49499,3,3,0,0,0,0,0,0,0,440,35,12,115,11,1,-121000000,3710000
100,0.9290726411767316,1.3926510550275655,0.08181818181818179,0.0,49499,0,0,0,0,0,0,0,0,0,440,35,12,115,11,1,-124710000,3710000
101,0.8419733926822264,1.2643423932321505,0.0,0.0,49499,1,1,0,0,0,0,0,0,0,440,35,11,115,11,1,-128420000,3710000
102,0.7631100514238663,1.1477726991486097,0.027272727272727264,0.0,49499,2,2,0,0,0,0,0,0,0,440,35,11,115,11,1,-132130000,3710000
103,0.6916909110406847,1.0418816522472794,0.05454545454545453,0.0,49499,1,1,0,0,0,0,0,0,0,440,35,12,115,11,1,-135840000,3710000
104,0.6270027200769756,0.9457024388384513,0.027272727272727264,0.0,49499,2,2,0,0,0,0,0,0,0,440,35,10,115,11,1,-139550000,3710000
105,0.5684024887438014,0.8583538827113513,0.05454545454545453,0.0,49499,1,1,0,0,0,0,0,0,0,440,35,8,115,11,1,-143260000,3710000
106,0.5153102235557513,0.7790331746075347,0.027272727272727264,0.0,49499,0,0,0,0,0,0,0,0,0,440,35,8,115,11,1,-146970000,3710000
107,0.4672024729516701,0.70700916601116,0.0,0.0,49499,1,1,0,0,0,0,0,0,0,440,35,4,115,11,1,-150680000,3710000
108,0.42360658351507485,0.6416161926268439,0.027272727272727264,0.0,49499,1,1,0,0,0,0,0,0,0,440,35,4,115,11,1,-154390000,3710000
109,0.38409558034317576,0.5822483933254846,0.027272727272727264,0.0,49499,1,1,0,0,0,0,0,0,0,440,35,4,115,11,0,-158100000,3710000
110,0.34828359690417127,0.5283544911445388,0.027272727272727264,0.0,49499,1,1,0,0,0,0,0,0,0,440,35,4,115,11,0,-161810000,3710000
111,0.3158217897263023,0.4794330040293742,0.027272727272727264,0.0,49499,0,0,0,0,0,0,0,0,0,440,35,4,115,11,0,-165520000,3710000
112,0.2863946817724694,0.4350278543131805,0.0,0.0,49499,0,0,0,0,0,0,0,0,0,440,35,3,115,11,0,-169230000,3710000
113,0.2597168856136468,0.39472434738713547,0.0,0.0,49499,0,0,0,0,0,0,0,0,0,440,35,3,115,11,0,-172940000,3710000
114,0.23553016372372998,0.35814549155607467,0.0,0.0,49499,0,0,0,0,0,0,0,0,0,440,35,1,115,11,0,-176650000,3710000
115,0.21360078854443257,0.32494863266486645,0.0,0.0,49499,0,0,0,0,0,0,0,0,0,440,35,0,115,11,0,-180360000,3710000
116,0.19371716954980475,0.29482237868331074,0.0,0.0,49499,0,0,0,0,0,0,0,0,0,440,35,0,115,11,0,-184070000,3710000
117,0.17568771849105094,0.2674837910265069,0.0,0.0,49499,0,0,0,0,0,0,0,0,0,440,35,0,115,11,0,-187780000,3710000
118,0.15933892741962233,0.24267582094335294,0.0,0.0,49499,1,1,0,0,0,0,0,0,0,440,35,1,115,11,0,-191490000,3710000
119,0.14451363705025638,0.22016497081330935,0.027272727272727264,0.0,49499,0,0,0,0,0,0,0,0,0,440,35,1,115,11,0,-195200000,3710000
