day,today_hosp,today_inc,today_deaths,today_admitted,today_rejected,sd_expected,final_expected,admitted,rejected,deaths,population
28,37,9,10,42,4,62.17429156913192,62.17429156913192,1254,8,155,5000
29,51,3,8,53,1,61.19789634754076,61.19789634754076,1307,9,163,5000
30,55,8,9,61,2,59.93236846363956,59.93236846363956,1368,11,172,5000
31,46,2,8,47,1,58.40717692235021,58.40717692235021,1415,12,180,5000
32,50,12,12,54,8,56.654708395048445,56.654708395048445,1469,20,192,5000
33,45,5,10,48,2,54.70906794655041,54.70906794655041,1517,22,202,5000
34,47,5,12,51,1,52.604959883625035,52.604959883625035,1568,23,214,5000
35,50,4,5,53,1,50.37669216012414,50.37669216012414,1621,24,219,5000
36,42,3,4,43,2,48.057332502660664,48.057332502660664,1664,26,223,5000
37,35,5,8,39,1,45.67803019089485,45.67803019089485,1703,27,231,5000
38,35,3,5,36,2,43.26750524551787,43.26750524551787,1739,29,236,5000
39,43,2,2,45,0,40.851697178367615,40.851697178367615,1784,29,238,5000
40,29,7,8,33,3,38.45355857760538,38.45355857760538,1817,32,246,5000
41,33,1,3,34,0,36.092974477048095,36.092974477048095,1851,32,249,5000
42,25,5,5,29,1,33.78678634638044,33.78678634638044,1880,33,254,5000
43,32,5,8,36,1,31.548899199517194,31.548899199517194,1916,34,262,5000
44,33,4,3,34,3,29.39045129405777,29.39045129405777,1950,37,265,5000
45,26,7,5,31,2,27.32002775856015,27.32002775856015,1981,39,270,5000
46,17,7,4,20,4,25.343901869267196,25.343901869267196,2001,43,274,5000
47,25,4,4,27,2,23.46629030968129,23.46629030968129,2028,45,278,5000
48,17,2,1,17,2,21.689611364443472,21.689611364443472,2045,47,279,5000
49,18,4,5,22,0,20.014737470036767,20.014737470036767,2067,47,284,5000
50,9,1,2,10,0,18.4412357725631,18.4412357725631,2077,47,286,5000
51,16,4,5,20,0,16.967592276186565,16.967592276186565,2097,47,291,5000
52,14,3,3,17,0,15.591416787683787,15.591416787683787,2114,47,294,5000
53,10,1,1,11,0,14.309627179651663,14.309627179651663,2125,47,295,5000
54,12,5,4,17,0,13.118612529549566,13.118612529549566,2142,47,299,5000
55,4,3,1,7,0,12.01437547507716,12.01437547507716,2149,47,300,5000
56,11,4,3,15,0,10.992654693608605,10.992654693608605,2164,47,303,5000
57,8,1,1,9,0,10.049028800275595,10.049028800275595,2173,47,304,5000
58,7,2,1,9,0,9.179003199838968,9.179003199838968,2182,47,305,5000
59,3,3,0,6,0,8.378081552626448,8.378081552626448,2188,47,305,5000
60,3,0,0,3,0,7.6418235516444994,7.6418235516444994,2191,47,305,5000
61,6,1,4,7,0,6.96589067955878,6.96589067955878,2198,47,309,5000
62,2,2,1,4,0,6.346081539697626,6.346081539697626,2202,47,310,5000
63,3,3,3,6,0,5.778358250027184,5.778358250027184,2208,47,313,5000
64,1,3,2,4,0,5.258865265376118,5.258865265376118,2212,47,315,5000
65,0,0,0,0,0,4.783941860436513,4.783941860436513,2212,47,315,5000
66,1,2,1,3,0,4.35012937124607,4.35012937124607,2215,47,316,5000
67,7,5,2,12,0,3.9541741610226513,3.9541741610226513,2227,47,318,5000
68,3,2,2,5,0,3.5930271508596934,3.5930271508596934,2232,47,320,5000
69,0,2,1,2,0,3.263840639143931,3.263840639143931,2234,47,321,5000
70,2,1,0,3,0,2.9639630269127473,2.9639630269127473,2237,47,321,5000
71,1,5,4,6,0,2.6909319702960453,2.6909319702960453,2243,47,325,5000
72,2,1,1,3,0,2.4424663957300954,2.4424663957300954,2246,47,326,5000
73,2,0,1,2,0,2.2164577384621227,2.2164577384621227,2248,47,327,5000
74,2,1,1,3,0,2.0109606994108984,2.0109606994108984,2251,47,328,5000
75,0,1,1,1,0,1.824183758983832,1.824183758983832,2252,47,329,5000
76,0,3,1,3,0,1.6544796381670306,1.6544796381670306,2255,47,330,5000
77,0,1,1,1,0,1.5003358562644316,1.5003358562644316,2256,47,331,5000
78,0,0,0,0,0,1.3603655002366877,1.3603655002366877,2256,47,331,5000
79,0,3,2,3,0,1.2332982918853923,1.2332982918853923,2259,47,333,5000
80,0,2,2,2,0,1.1179720153994228,1.1179720153994228,2261,47,335,5000
81,1,1,1,2,0,1.0133243483439596,1.0133243483439596,2263,47,336,5000
82,0,0,0,0,0,0.9183851234102829,0.9183851234102829,2263,47,336,5000
83,0,0,0,0,0,0.8322690356027075,0.8322690356027075,2263,47,336,5000
84,1,1,0,2,0,0.7541687995291162,0.7541687995291162,2265,47,336,5000
85,1,1,2,2,0,0.683348753655382,0.683348753655382,2267,47,338,5000
86,0,1,0,1,0,0.6191389024098259,0.6191389024098259,2268,47,338,5000
87,0,0,0,0,0,0.5609293825614841,0.5609293825614841,2268,47,338,5000
88,0,0,0,0,0,0.5081653370713698,0.5081653370713698,2268,47,338,5000
89,0,0,0,0,0,0.46034217739628897,0.46034217739628897,2268,47,338,5000
90,0,0,0,0,0,0.41700121381348815,0.41700121381348815,2268,47,338,5000
91,0,0,0,0,0,0.37772563256652136,0.37772563256652136,2268,47,338,5000
92,0,0,0,0,0,0.3421367983706144,0.3421367983706144,2268,47,338,5000
93,0,0,0,0,0,0.30989086094544666,0.30989086094544666,2268,47,338,5000
94,0,1,0,1,0,0.2806756446707472,0.2806756446707472,2269,47,338,5000
95,0,1,0,1,0,0.25420780110859553,0.25420780110859553,2270,47,338,5000
96,0,0,0,0,0,0.23023020494344185,0.23023020494344185,2270,47,338,5000
97,0,0,0,0,0,0.2085095748063589,0.2085095748063589,2270,47,338,5000
98,0,0,0,0,0,0.188834301433782,0.188834301433782,2270,47,338,5000
99,0,1,1,1,0,0.171012466631267,0.171012466631267,2271,47,339,5000
100,0,0,0,0,0,0.15487003754485043,0.15487003754485043,2271,47,339,5000
101,0,0,0,0,0,0.1402492217673886,0.1402492217673886,2271,47,339,5000
102,0,0,0,0,0,0.12700696981042026,0.12700696981042026,2271,47,339,5000
103,0,0,0,0,0,0.11501361244306335,0.11501361244306335,2271,47,339,5000
104,0,0,0,0,0,0.10415162133070908,0.10415162133070908,2271,47,339,5000
105,0,0,0,0,0,0.0943144822927415,0.0943144822927415,2271,47,339,5000
106,0,0,0,0,0,0.08540567133706368,0.08540567133706368,2271,47,339,5000
107,0,0,0,0,0,0.07733772441824464,0.07733772441824464,2271,47,339,5000
108,0,0,0,0,0,0.07003139260518855,0.07003139260518855,2271,47,339,5000
109,0,0,0,0,0,0.06341487503384717,0.06341487503384717,2271,47,339,5000
110,0,1,1,1,0,0.057423122661797124,0.057423122661797124,2272,47,340,5000
111,0,0,0,0,0,0.05199720643612815,0.05199720643612815,2272,47,340,5000
112,0,1,0,1,0,0.047083744036023875,0.047083744036023875,2273,47,340,5000
113,0,0,0,0,0,0.04263437985887848,0.04263437985887848,2273,47,340,5000
114,0,0,0,0,0,0.038605313386133766,0.038605313386133766,2273,47,340,5000
115,0,0,0,0,0,0.03495687149465776,0.03495687149465776,2273,47,340,5000
116,0,0,0,0,0,0.03165312067384737,0.03165312067384737,2273,47,340,5000
117,0,0,0,0,0,0.028661515470117655,0.028661515470117655,2273,47,340,5000
118,0,0,0,0,0,0.02595257981137322,0.02595257981137322,2273,47,340,5000
119,0,0,0,0,0,0.023499618166690314,0.023499618166690314,2273,47,340,5000
120,0,0,0,0,0,0.021278453772919568,0.021278453772919568,2273,47,340,5000
121,0,0,0,0,0,0.01926719141228544,0.01926719141228544,2273,47,340,5000
122,0,0,0,0,0,0.017446002455231504,0.017446002455231504,2273,47,340,5000
123,0,0,0,0,0,0.015796930092542304,0.015796930092542304,2273,47,340,5000
124,0,0,0,0,0,0.014303712871848052,0.014303712871848052,2273,47,340,5000
125,0,0,0,0,0,0.012951624827555573,0.012951624827555573,2273,47,340,5000
126,0,0,0,0,0,0.011727330651503342,0.011727330651503342,2273,47,340,5000
127,0,0,0,0,0,0.010618754495556933,0.010618754495556933,2273,47,340,5000
128,0,0,0,0,0,0.009614961128187861,0.009614961128187861,2273,47,340,5000
129,0,0,0,0,0,0.008706048285959314,0.008706048285959314,2273,47,340,5000
130,0,0,0,0,0,0.007883049168830761,0.007883049168830761,2273,47,340,5000
131,0,0,0,0,0,0.007137844126257524,0.007137844126257524,2273,47,340,5000
132,0,0,0,0,0,0.00646308067008866,0.00646308067008866,2273,47,340,5000
133,0,0,0,0,0,0.005852101031069031,0.005852101031069031,2273,47,340,5000
134,0,0,0,0,0,0.005298876549072801,0.005298876549072801,2273,47,340,5000
135,0,0,0,0,0,0.004797948253714553,0.004797948253714553,2273,47,340,5000
136,0,0,0,0,0,0.004344373052320776,0.004344373052320776,2273,47,340,5000
137,0,0,0,0,0,0.0039336749969640815,0.0039336749969640815,2273,47,340,5000
138,0,0,0,0,0,0.003561801151880487,0.003561801151880487,2273,47,340,5000
139,0,0,0,0,0,0.0032250816275759655,0.0032250816275759655,2273,47,340,5000
140,0,0,0,0,0,0.002920193388709599,0.002920193388709599,2273,47,340,5000
141,0,0,0,0,0,0.0026441274798059064,0.0026441274798059064,2273,47,340,5000
142,0,0,0,0,0,0.0023941593463519062,0.0023941593463519062,2273,47,340,5000
143,0,0,0,0,0,0.00216782195919676,0.00216782195919676,2273,47,340,5000
144,0,0,0,0,0,0.00196288147768551,0.00196288147768551,2273,47,340,5000
145,0,0,0,0,0,0.0017773152118888723,0.0017773152118888723,2273,47,340,5000
146,0,0,0,0,0,0.0016092916668792826,0.0016092916668792826,2273,47,340,5000
147,0,0,0,0,0,0.001457152472468218,0.001457152472468218,2273,47,340,5000
148,0,0,0,0,0,0.0013193960203597517,0.0013193960203597517,2273,47,340,5000
149,0,0,0,0,0,0.0011946626474706413,0.0011946626474706413,2273,47,340,5000
